Módulo,Área Funcional,Nombre Entidad CDS (Data Definition),SQL View Name (Nombre Técnico),Descripción Breve,Tipo carga sugerido,Tabla subyacente,Notas
FI,Libro Mayor,I_JournalEntryItem,IFIGLITM,Partidas de diario (Universal Journal - ACDOCA),Delta timestamp,ACDOCA,
FI,Cuentas por Cobrar,I_CustomerLineItem,IFICLI,Partidas individuales de Clientes,Delta timestamp,BSEG/BKPF,
FI,Cuentas por Pagar,I_SupplierLineItem,IFISLI,Partidas individuales de Proveedores,Delta timestamp,BSEG/BKPF,
FI,Activos Fijos,I_AssetHistorySheetValue,IASHV,Valores del cuadro de activos fijos,Delta timestamp,ANLC/ANLP,
FI,Empresa,I_CompanyCode,ICOMPANYCODE,Maestro de Sociedades/Centros,Full,T001,
FI,Plan de Cuentas,I_GLAccountInChartOfAccounts,IGLACCOUNTINCHARTOFACCOUNTS,Cuentas contables en plan de cuentas,Full,SKA1/SKAT,
FI,Documento Contable,I_AccountingDocument,IACCDOC,Cabecera de documento contable,Delta timestamp,BKPF,
FI,Partida Contable,I_AccountingDocumentItem,IACCDOCITEM,Partidas de documento contable,Delta timestamp,BSEG,
FI,Moneda,I_Currency,ICURRENCY,Maestro de monedas,Full,TCURC/TCURR,
FI,Ejercicio Fiscal,I_FiscalYear,IFISCALYEAR,Ejercicios fiscales,Full,T001B,
FI,Centro de Beneficio,I_ProfitCenter,IPROFITCENTER,Maestro de centros de beneficio,Full,CEPC,
FI,Segmento,I_Segment,ISEGMENT,Segmentos para reportes,Full,FBSEG,
FI,Banco Casa,I_HouseBank,IHOUSEBANK,Maestro de bancos casa por sociedad,Full,T012,
FI,Condiciones de Pago,I_PaymentTerms,IPAYMENTTERMS,Condiciones de pago,Full,T052,
FI,Tipo de Cambio,I_CurrencyExchangeRate,IEXCHANGERATE,Tipos de cambio,Full,TCURR,
FI,Documento de Pago,I_PaymentDocument,IPAYMENTDOC,Documentos de pago,Delta timestamp,REGUH,
FI,Ejecuci?n de Pago,I_PaymentRun,IPAYMENTRUN,Cabecera de ejecuci?n de pago,Delta timestamp,,
FI,Presupuesto Centro de Coste,I_CostCenterBudget,ICSTCNTRBDGT,Presupuesto por centro de coste,Delta timestamp,ACDOCA/CSKS,
CO,Centros de Coste,I_CostCenter,ICOSTCENTER,Maestro de Centros de Coste,Full,CSKS/CSKU,
CO,Elementos de Coste,I_CostElement,ICOSTELEMENT,Maestro de Clases de Coste,Full,CSKA/CSKU,
CO,Centro de Beneficio,I_ProfitCenter,IPROFITCENTER,Centros de beneficio (CO),Full,CEPC,
CO,Orden Interna,I_Order,IORDER,?rdenes internas (?rdenes de costes),Delta timestamp,AUFK/COEP,
