Módulo,Área Funcional,Nombre Entidad CDS (Data Definition),SQL View Name (Nombre Técnico),Descripción Breve,Tipo carga sugerido,Tabla subyacente,Notas,Prioridad
FI,Libro Mayor,I_JournalEntryItem,IFIGLITM,Partidas de diario (Universal Journal - ACDOCA),Delta timestamp,ACDOCA,,6
FI,Cuentas por Cobrar,I_CustomerLineItem,IFICLI,Partidas individuales de Clientes,Delta timestamp,BSEG/BKPF,,6
FI,Cuentas por Pagar,I_SupplierLineItem,IFISLI,Partidas individuales de Proveedores,Delta timestamp,BSEG/BKPF,,6
FI,Activos Fijos,I_AssetHistorySheetValue,IASHV,Valores del cuadro de activos fijos,Delta timestamp,ANLC/ANLP,,6
FI,Empresa,I_CompanyCode,ICOMPANYCODE,Maestro de Sociedades/Centros,Full,T001,,1
FI,Plan de Cuentas,I_GLAccountInChartOfAccounts,IGLACCOUNTINCHARTOFACCOUNTS,Cuentas contables en plan de cuentas,Full,SKA1/SKAT,,1
FI,Documento Contable,I_AccountingDocument,IACCDOC,Cabecera de documento contable,Delta timestamp,BKPF,,6
FI,Partida Contable,I_AccountingDocumentItem,IACCDOCITEM,Partidas de documento contable,Delta timestamp,BSEG,,6
FI,Moneda,I_Currency,ICURRENCY,Maestro de monedas,Full,TCURC/TCURR,,1
FI,Ejercicio Fiscal,I_FiscalYear,IFISCALYEAR,Ejercicios fiscales,Full,T001B,,1
FI,Centro de Beneficio,I_ProfitCenter,IPROFITCENTER,Maestro de centros de beneficio,Full,CEPC,,2
FI,Segmento,I_Segment,ISEGMENT,Segmentos para reportes,Full,FBSEG,,2
FI,Banco Casa,I_HouseBank,IHOUSEBANK,Maestro de bancos casa por sociedad,Full,T012,,1
FI,Condiciones de Pago,I_PaymentTerms,IPAYMENTTERMS,Condiciones de pago,Full,T052,,1
FI,Tipo de Cambio,I_CurrencyExchangeRate,IEXCHANGERATE,Tipos de cambio,Full,TCURR,,1
FI,Documento de Pago,I_PaymentDocument,IPAYMENTDOC,Documentos de pago,Delta timestamp,REGUH,,9
FI,Ejecuci?n de Pago,I_PaymentRun,IPAYMENTRUN,Cabecera de ejecuci?n de pago,Delta timestamp,,,9
FI,Presupuesto Centro de Coste,I_CostCenterBudget,ICSTCNTRBDGT,Presupuesto por centro de coste,Delta timestamp,ACDOCA/CSKS,,6
CO,Centros de Coste,I_CostCenter,ICOSTCENTER,Maestro de Centros de Coste,Full,CSKS/CSKU,,2
CO,Elementos de Coste,I_CostElement,ICOSTELEMENT,Maestro de Clases de Coste,Full,CSKA/CSKU,,2
CO,Centro de Beneficio,I_ProfitCenter,IPROFITCENTER,Centros de beneficio (CO),Full,CEPC,,2
CO,Orden Interna,I_Order,IORDER,?rdenes internas (?rdenes de costes),Delta timestamp,AUFK/COEP,,9
CO,Tipo de Actividad,I_ActivityType,IACTIVITYTYPE,Tipos de actividad,Full,TKA01,,2
CO,Actividad Centro de Coste,I_CostCenterActivity,ICOSTCENTERACTIVITY,Actividad de centros de coste,Full,COSP/COSL,,2
SD,Ventas (Cabecera),I_SalesOrder,ISALESORDER,Documentos de venta: Cabecera,Delta timestamp,VBAK,,7
SD,Ventas (Posici?n),I_SalesOrderItem,ISALESORDERITM,Documentos de venta: Posiciones,Delta timestamp,VBAP,,7
SD,Documento Ventas,I_SalesDocument,ISALESDOCUMENT,Cabecera documento de ventas (tronco),Delta timestamp,VBAK,,7
SD,Posici?n Ventas,I_SalesDocumentItem,ISALESDOCUMENTITEM,Posiciones documento de ventas,Delta timestamp,VBAP,,7
SD,Entrega,I_DeliveryDocument,IDELIVDOC,Documentos de entrega (Cabecera),Delta timestamp,LIKP,,7
SD,Posici?n Entrega,I_DeliveryDocumentItem,IDELIVERYDOCUMENTITEM,Posiciones de entrega,Delta timestamp,LIPS,,7
SD,Facturaci?n,I_BillingDocument,IBILLINGDOC,Facturas / Notas de Cr?dito y D?bito,Delta timestamp,VBRK,,7
SD,Posici?n Factura,I_BillingDocumentItem,IBILLINGDOCUMENTITEM,Posiciones de factura,Delta timestamp,VBRP,,7
SD,Log?stica,I_ShippingPoint,ISHIPPINGPOINT,Punto de expedici?n,Full,T001T/T499S,,3
SD,Cliente ?rea Ventas,I_CustomerSalesArea,ICUSTOMERSALESAREA,Cliente por sociedad y ?rea de ventas,Full,KNVV/KNA1,,3
SD,Empleado de Ventas,I_SalesEmployee,ISALESEMPLOYEE,Empleados de ventas,Full,KNVK,,3
SD,Material del Cliente,I_CustomerMaterial,ICUSTOMERMATERIAL,Materiales espec?ficos por cliente,Full,KNMT,,3
SD,Devoluci?n,I_ReturnDelivery,IRETURNDELIVERY,Documentos de devoluci?n (cabecera),Delta timestamp,LIKP,,7
SD,Posici?n Devoluci?n,I_ReturnDeliveryItem,IRETURNDELIVERYITEM,Posiciones de devoluci?n,Delta timestamp,LIPS,,7
SD,Condici?n,I_ConditionRecord,ICONDITIONRECORD,Registros de condiciones (precios/descuentos),Full,KONV,,3
MM,Compras,I_PurchaseOrder,IPURCHASEORDER,Pedidos de compra (Cabecera),Delta timestamp,EKKO,,8
MM,Compras,I_PurchaseOrderItem,IPURCHASEORDERIT,Posiciones de pedidos de compra,Delta timestamp,EKPO,,8
MM,Solicitud de Compra,I_PurchaseRequisition,IPURCHASEREQ,Solicitudes de compra (cabecera),Delta timestamp,EBAN,,8
MM,Posici?n Solicitud,I_PurchaseRequisitionItem,IPURCHASEREQITEM,Posiciones de solicitud de compra,Delta timestamp,EBAN,,8
MM,Inventario,I_MaterialStock,IMATSTOCK,Stock actual por Centro/Almac?n,Delta timestamp,MARD/MARC,,8
MM,Maestro Material,I_Product,IPRODUCT,Maestro de Materiales (S/4HANA Product),Delta timestamp,MARA/MARC,,1
MM,Documento Material,I_MaterialDocumentHeader,IMATDOCHEADER,Cabecera de documento de material (movimientos),Delta timestamp,MATDOC,,8
MM,Partida Documento Material,I_MaterialDocumentItem,IMATDOCITEM,Partidas de documento de material,Delta timestamp,MATDOC,,8
MM,Centro,I_Plant,IPLANT,Maestro de centros/plantas,Full,T001W,,1
MM,Almacén,I_StorageLocation,ISTORAGELOCATION,Almacenes por centro,Full,T001L,,1
MM,Registro de Información de Compra,I_PurchasingInfoRecord,IPURCHASEINFORECORD,Registros de información de compra,Full,EINA/EINE,,4
MM,Lista de Fuentes,I_SourceList,ISOURCELIST,Lista de fuentes de aprovisionamiento,Full,EORD,,4
MM,Conteo Inventario,I_InventoryCountDocument,IINVENTORYCOUNTDOC,Documentos de conteo de inventario,Delta timestamp,,,8
MM,Posición Conteo,I_InventoryCountDocumentItem,IINVENTORYCOUNTDOCITEM,Posiciones de conteo de inventario,Delta timestamp,,,8
PP,Producción,I_ProductionOrder,IPRODORDER,Órdenes de fabricación,Delta timestamp,AFKO/AFPO,,9
PP,Orden Planificada,I_PlannedOrder,IPLANNEDORDER,Órdenes planificadas (MRP),Delta timestamp,PLAF,,9
PP,Operaci?n Orden,I_ProductionOrderOperation,IPRODORDEROPERATION,Operaciones de orden de fabricaci?n,Delta timestamp,AFVC,,9
PP,Centro de Trabajo,I_WorkCenter,IWORKCENTER,Maestro de Puestos de Trabajo,Full,CRHD,,5
PP,Hoja de Ruta,I_ProductRouting,IPRODUCTROUTING,Hojas de ruta de fabricaci?n,Full,PLKO/PLPO,,5
PP,Lista de Materiales,I_BOMHeader,IBOMHEADER,Cabecera de lista de materiales,Full,MAST/STPO,,5
PP,Posici?n LDM,I_BOMItem,IBOMITEM,Posiciones de lista de materiales,Full,STPO,,5
PM,Mantenimiento,I_MaintenanceOrder,IMAINTORDER,?rdenes de mantenimiento correctivo/prev.,Delta timestamp,AUFK,,9
PM,Operaci?n Mantenimiento,I_MaintenanceOrderOperation,IMAINTORDEROPERATION,Operaciones de orden de mantenimiento,Delta timestamp,AFIH/AFVV,,9
PM,Objetos T?cnicos,I_Equipment,IEQUIPMENT,Maestro de Equipos,Full,EQUI,,5
PM,Ubicaci?n T?cnica,I_FunctionalLocation,IFUNCTIONALLOCATION,Ubicaciones t?cnicas,Full,IFLOT,,5
QM,Calidad,I_InspectionLot,IINSPNLOT,Lotes de inspecci?n,Delta timestamp,QALS,,9
QM,Operaci?n Inspecci?n,I_InspectionOperation,IINSPECTIONOPERATION,Operaciones de inspecci?n,Delta timestamp,QAMV,,9
QM,Registro Info Calidad,I_QualityInfoRecord,IQUALITYINFORECORD,Registro de informaci?n de calidad,Full,QMAT,,5
EWM,Almac?n Ext.,I_WhseOutboundDeliveryOrder,IOWDO,Orden de entrega de salida en EWM,Delta timestamp,/SCWM/LIKP,,9
EWM,Stock Almac?n,I_WhseStock,IWHSESTOCK,Stock en almac?n (EWM),Delta timestamp,/SCWM/,,9
