Fase,Descripcion_fase,Codigo,Actividad,Descripcion,Entregables,Tiempo_estimado,Duracion_fase,Hito_fase,Fecha_inicio_estimada,Fecha_fin_estimada
0,Cierre estrategia,0.1,Formalizar adopción Estrategia 3 y validar plan,Revisar y validar con stakeholders la adopción de Estrategia 3 (Silver dual + capa conformada) y el plan de acción; incorporar ajustes si aplica.,OK o ajustes al plan documentados,2-3 días,1-2 sem,Priorización lista,06/03/26,16/03/26
0,Cierre estrategia,0.2,Definir y documentar lista de entidades Silver,Identificar las entidades Silver que alimentan las vistas Gold (reportes y RPA's) para las Empresas TECC (SEL SCO STU). Priorizar orden: maestros primero luego transaccionales.,Lista priorizada de entidades (ej. clientes materiales órdenes venta facturas),3-4 días,1-2 sem,Priorización lista,10/03/26,16/03/26
0,Cierre estrategia,0.3,Identificar tablas con/sin source_system y plan de extensión,Revisar qué tablas Silver ya tienen el campo source_system y cuáles no; definir plan para extenderlo donde haga falta sin romper pipelines QAD.,Lista de tablas y plan de cambio (faseado si aplica),1-2 días,1-2 sem,Priorización lista,10/03/26,12/03/26
1,Mapeo y diseño,1.1,Matriz de mapeo por entidad (CDS ↔ Silver),Por cada entidad priorizada identificar la CDS (o tablas) SAP equivalente usando SE11/HANA Studio (SQL view name para conector). Documentar mapeo campo a campo (Silver ↔ SAP) tipos nulos y reglas.,Matriz de mapeo por entidad,1-1.5 sem,2-3 sem,Diseño y matriz listos,16/03/26,23/03/26
1,Mapeo y diseño,1.2,Full vs Incremental y registro en control SAP,Por cada CDS: revisar si expone campo de última modificación o anotación delta; definir Full o Incremental. Registrar en source_to_bronze_control_sap (load_type watermark_column si aplica).,Control SAP actualizado; documentación breve por objeto,3-4 días,2-3 sem,Diseño y matriz listos,16/03/26,23/03/26
1,Mapeo y diseño,1.3,Diseño lh_silver_sap,Definir diseño de lh_silver_sap: mismo contrato que Silver actual (nombres y estructura tipo QAD) por entidad; lista de tablas y columnas; source_system = 'SAP' company_code desde MANDT o equivalente.,Documento de diseño lh_silver_sap (tablas/columnas por entidad),2-3 días,2-3 sem,Diseño y matriz listos,23/03/26,25/03/26
1,Mapeo y diseño,1.4,Diseño capa conformada,Definir vistas UNION por entidad (lh_silver_qad + lh_silver_sap) nombres uso de go-live por company_code si aplica; indicar si alguna entidad requiere tabla materializada en lugar de vista.,Especificación de la capa conformada (vistas vs tablas; nombres),2 días,2-3 sem,Diseño y matriz listos,23/03/26,24/03/26
1,Mapeo y diseño,1.5,Ampliar lh_bronze_sap con CDS del piloto,Incluir en lh_bronze_sap las CDS necesarias para la entidad piloto (Fase 2); registrar en source_to_bronze_control_sap.,Pipelines/artefactos Source → Bronze SAP para piloto; control actualizado,2-3 días,2-3 sem,Diseño y matriz listos,25/03/26,27/03/26
2,Piloto,2.1,ETL Bronze SAP → lh_silver_sap (entidad piloto),Implementar ETL para la entidad piloto (notebook o pipeline parametrizado): mapeo según matriz source_system company_code. Registrar en bronze_to_silver_control_sap.,Pipeline/notebook; tabla en lh_silver_sap,3-4 días,1-2 sem,Patrón replicable,27/03/26,02/04/26
2,Piloto,2.2,Vista conformada para la entidad piloto,Crear vista conformada (UNION de Silver QAD y lh_silver_sap para esa entidad). Probar consulta con filtro por company_code y source_system.,Vista conformada probada,1-2 días,1-2 sem,Patrón replicable,02/04/26,03/04/26
2,Piloto,2.3,Validación punta a punta,Validar volúmenes y muestreo de registros SAP vs QAD; comprobar que un reporte Gold o vista RPA que use esa entidad funciona con datos unificados. Ajustes menores si hace falta.,OK de validación; documento de lecciones aprendidas,2-3 días,1-2 sem,Patrón replicable,03/04/26,08/04/26
2,Piloto,2.4,Documentar patrón estándar,Documentar pasos nombres y uso de tablas de control para replicar el flujo en siguientes entidades.,Guía cómo agregar una entidad SAP,1 día,1-2 sem,Patrón replicable,08/04/26,09/04/26
3,Rollout entidades Empresas TECC,3.1,Priorizar orden de entidades,Definir orden de implementación: maestros primero (clientes materiales proveedores) luego transaccionales; considerar dependencias y uso en vistas/RPA.,Orden de implementación documentado,2-3 días,5-7 sem,Vistas (reportes y RPA's) listas para SEL,09/04/26,13/04/26
3,Rollout entidades Empresas TECC,3.2,Implementar entidades (Bronze ETL vista conformada control prueba),Por cada entidad: ampliar Bronze SAP si falta CDS; ETL → lh_silver_sap; vista conformada; registro en control; prueba básica. Reutilizar patrón del piloto.,Todas las entidades críticas en lh_silver_sap y capa conformada,4-6 sem,5-7 sem,Vistas (reportes y RPA's) listas para SEL,13/04/26,18/05/26
3,Rollout entidades Empresas TECC,3.3,Revisión de calidad y estándares,Revisar por lote: nombres tipos source_system company_code; aplicar estándares definidos.,Ajustes y estándares documentados,Continuo,5-7 sem,Vistas (reportes y RPA's) listas para SEL,13/04/26,18/05/26
3,Rollout entidades Empresas TECC,3.4,Extender source_system en tablas Silver,Añadir o completar el campo source_system en las tablas Silver que recibirán datos SAP y aún no lo tengan sin modificar la lógica QAD.,Silver listo para multi-origen donde aplique,1-2 días (repartidos),5-7 sem,Vistas (reportes y RPA's) listas para SEL,29/04/26,30/04/26
4,Go-live SEL,4.1,Actualizar go-live y validación rápida,Actualizar tabla o parámetros de go-live con la fecha real de SEL. Ejecutar validación rápida de vistas conformadas y reportes que consumen datos de SEL.,Tabla go-live actualizada; validación rápida ejecutada,0.5-1 día,1-2 sem,SEL en producción con SAP,30/04/26,01/05/26
4,Go-live SEL,4.2,Validación con negocio,Validar con negocio reportes Gold y vistas RPA que consumen datos de SEL; comparar con reportes estándar SAP si existe.,OK de negocio o lista de ajustes,3-5 días,1-2 sem,SEL en producción con SAP,01/05/26,07/05/26
4,Go-live SEL,4.3,Soporte post go-live,Atender incidencias de datos y ajustes menores de mapeo o filtros tras el go-live de SEL.,Estabilización operativa,Resto de la fase,1-2 sem,SEL en producción con SAP,07/05/26,11/05/26
5,"STU, SCO y bloques financieras",5.1,Go-live STU + 2.º bloque financieras (Mayo),Actualizar go-live con fechas reales. Validación rápida por empresa de reportes Gold/RPA; soporte inicial.,Empresas del bloque cubiertas en capa conformada,1-1.5 sem,3-4 sem,Transición cerrada,18/05/26,26/05/26
5,"STU, SCO y bloques financieras",5.2,Go-live SCO + último bloque financieras (Junio),Actualizar go-live. Validación rápida; validación ligera para financieras (impacto reducido en vistas).,Transición cerrada para todas las empresas,1-1.5 sem,3-4 sem,Transición cerrada,26/05/26,04/06/26
5,"STU, SCO y bloques financieras",5.3,Estabilización final,Revisión de pipelines optimización (particiones programación Full/Incremental) documentación operativa.,Proceso estable; documentación de operación,1 sem,3-4 sem,Transición cerrada,04/06/26,11/06/26
